gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
001447,20131231,2013,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20141231,2014,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20141231,2014,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20151231,2015,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20151231,2015,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001447,20161231,2016,FS,C,D,STD,USD,A,4020,402020,40,40202010
001447,20161231,2016,INDL,C,D,STD,USD,A,4020,402020,40,40202010
001487,20001231,2000,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20001231,2000,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20011231,2001,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20011231,2001,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20021231,2002,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20021231,2002,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20031231,2003,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20031231,2003,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20041231,2004,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20041231,2004,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20051231,2005,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20051231,2005,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20061231,2006,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20061231,2006,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20071231,2007,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20071231,2007,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20081231,2008,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20081231,2008,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20091231,2009,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20091231,2009,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20101231,2010,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20101231,2010,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20111231,2011,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20111231,2011,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20121231,2012,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20121231,2012,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20131231,2013,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20131231,2013,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20141231,2014,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20141231,2014,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20151231,2015,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20151231,2015,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001487,20161231,2016,FS,C,D,STD,USD,A,4030,403010,40,40301030
001487,20161231,2016,INDL,C,D,STD,USD,A,4030,403010,40,40301030
001659,20001231,2000,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20011231,2001,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20021231,2002,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20031231,2003,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20041231,2004,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20051231,2005,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20061231,2006,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20071231,2007,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20081231,2008,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20091231,2009,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20101231,2010,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20111231,2011,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20121231,2012,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20131231,2013,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20141231,2014,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20151231,2015,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001659,20161231,2016,INDL,C,D,STD,USD,A,3010,301010,30,30101020
001878,20000131,1999,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20010131,2000,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20020131,2001,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20030131,2002,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20040131,2003,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20050131,2004,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20060131,2005,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20070131,2006,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20080131,2007,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20090131,2008,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20100131,2009,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20110131,2010,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20120131,2011,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20130131,2012,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20140131,2013,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20150131,2014,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20160131,2015,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001878,20170131,2016,INDL,C,D,STD,USD,A,4510,451030,45,45103010
001919,20000630,2000,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20010630,2001,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20020630,2002,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20030630,2003,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20040630,2004,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20050630,2005,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20060630,2006,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20070630,2007,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20080630,2008,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20090630,2009,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20100630,2010,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20110630,2011,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20120630,2012,INDL,C,D,STD,USD,A,4520,452030,45,45203030
